"","mode1","mode2","accuracy_pooled_sd","accuracy_cohen_d","accuracy_mean.x","accuracy_sd.x","N.x","accuracy_ci95.x","accuracy_mean.y","accuracy_sd.y","N.y","accuracy_ci95.y"
"1","Baseline","Full",8.73086880988591,-0.0763574257251231,84.8333333333333,9.70169093599378,20,4.25195352419683,84.1666666666667,7.63762615825973,20,3.34733725021347
"2","Baseline","Low",7.95451559017381,-0.847078010183143,84.8333333333333,9.70169093599378,20,4.25195352419683,78.0952380952381,5.82822905935019,21,2.49277474432126
"3","Baseline","Masked",8.54126550191885,-1.20981291718562,84.8333333333333,9.70169093599378,20,4.25195352419683,74.5,7.19608405530356,20,3.15382289141438
"4","Baseline","Moderate",8.55664041574906,-0.0398029709788976,84.8333333333333,9.70169093599378,20,4.25195352419683,84.4927536231884,7.42699795600884,23,3.03532680892054
"5","Full","Low",6.77040773058911,-0.896759665447841,84.1666666666667,7.63762615825973,20,3.34733725021347,78.0952380952381,5.82822905935019,21,2.49277474432126
"6","Full","Masked",7.42014012887652,-1.30276066203217,84.1666666666667,7.63762615825973,20,3.34733725021347,74.5,7.19608405530356,20,3.15382289141438
"7","Full","Moderate",7.52533915187693,0.0433318618524195,84.1666666666667,7.63762615825973,20,3.34733725021347,84.4927536231884,7.42699795600884,23,3.03532680892054
"8","Low","Masked",6.53050822276013,-0.550529602383468,78.0952380952381,5.82822905935019,21,2.49277474432126,74.5,7.19608405530356,20,3.15382289141438
"9","Low","Moderate",6.7133336573983,0.952956586762233,78.0952380952381,5.82822905935019,21,2.49277474432126,84.4927536231884,7.42699795600884,23,3.03532680892054
"10","Masked","Moderate",7.32089468565614,1.36496344398551,74.5,7.19608405530356,20,3.15382289141438,84.4927536231884,7.42699795600884,23,3.03532680892054
