"","mode1","mode2","mean_confidence_pooled_sd","mean_confidence_cohen_d","mean_confidence_mean.x","mean_confidence_sd.x","N.x","mean_confidence_ci95.x","mean_confidence_mean.y","mean_confidence_sd.y","N.y","mean_confidence_ci95.y"
"1","Baseline","Full",0.327234657574055,-0.933750592986646,2.6,0.32336458119539,20,0.141720776273454,2.29444444444444,0.33105949595737,20,0.145093221361269
"2","Baseline","Low",0.348919403943739,-0.790801322045183,2.6,0.32336458119539,20,0.141720776273454,2.32407407407407,0.371572124386907,21,0.158924022706265
"3","Baseline","Masked",0.352856336512502,-1.07456385908839,2.6,0.32336458119539,20,0.141720776273454,2.22083333333333,0.380066489002093,20,0.166571483054158
"4","Baseline","Moderate",0.339369370435949,-0.46192526102983,2.6,0.32336458119539,20,0.141720776273454,2.44323671497585,0.352607556649034,23,0.14410656581087
"5","Full","Low",0.352417449138543,0.0840753762393348,2.29444444444444,0.33105949595737,20,0.145093221361269,2.32407407407407,0.371572124386907,21,0.158924022706265
"6","Full","Masked",0.356406317232121,-0.206537054906267,2.29444444444444,0.33105949595737,20,0.145093221361269,2.22083333333333,0.380066489002093,20,0.166571483054158
"7","Full","Moderate",0.342790320804931,0.434062053391738,2.29444444444444,0.33105949595737,20,0.145093221361269,2.44323671497585,0.352607556649034,23,0.14410656581087
"8","Low","Masked",0.375734393968125,-0.274770535777726,2.32407407407407,0.371572124386907,21,0.158924022706265,2.22083333333333,0.380066489002093,20,0.166571483054158
"9","Low","Moderate",0.361762314449959,0.329394843359934,2.32407407407407,0.371572124386907,21,0.158924022706265,2.44323671497585,0.352607556649034,23,0.14410656581087
"10","Masked","Moderate",0.365588938273883,0.608342754276382,2.22083333333333,0.380066489002093,20,0.166571483054158,2.44323671497585,0.352607556649034,23,0.14410656581087
