"","mode1","mode2","accuracy_cohen_d","accuracy_cohen_d_low","accuracy_cohen_d_high"
"1","Baseline","Full",0.0748387072331346,-0.549622350685684,0.708203276226101
"2","Baseline","Low",0.830665228838701,0.221444110267456,1.53520648645955
"3","Baseline","Masked",1.18575022476601,0.567519736432546,1.9425938068206
"4","Baseline","Moderate",0.039069648074947,-0.586005022819149,0.668439695322691
"5","Full","Low",0.879384264209024,0.269518393898061,1.59005903948259
"6","Full","Masked",1.27684927634474,0.654820531277808,2.04779256943628
"7","Full","Moderate",0.0425335232865861,-0.582362159776918,0.67210538830736
"8","Low","Masked",0.539862672208278,-0.0694337296362025,1.2114262399509
"9","Low","Moderate",0.935820435527351,0.325132094743055,1.6457936634512
"10","Masked","Moderate",1.33981559868872,0.715956078487456,2.10801710584916
