"","mode1","mode2","duration_main_cohen_d","duration_main_cohen_d_low","duration_main_cohen_d_high"
"1","Baseline","Full",-0.297596530516691,-0.947808282044003,0.317253189714932
"2","Baseline","Low",-0.411857657767545,-1.07096868578683,0.199671336011042
"3","Baseline","Masked",-0.54417575557415,-1.21790949908021,0.0650847420798621
"4","Baseline","Moderate",-0.56982365943619,-1.24116015324916,0.0391320291694243
"5","Full","Low",-0.109301128561965,-0.744276189604968,0.513018286633554
"6","Full","Masked",-0.0735791711680612,-0.706860654621961,0.550948623253421
"7","Full","Moderate",-0.299821164199536,-0.94706414333987,0.314498457423473
"8","Low","Masked",-0.0598000370896136,-0.691553600871814,0.565028629606944
"9","Low","Moderate",-0.199987451156094,-0.838984683225921,0.417576666729491
"10","Masked","Moderate",-0.2782474294914,-0.923807353350272,0.336753031098708
